Peak Brightness Date/Time (UT),Altitude (km),Latitude (deg),Longitude (deg),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
5/12/2018 3:26,34,6.5S,173.7E,14.95836351,6.575,-8.841666667,10.11666667,1.93E+11,0.54
5/8/2018 2:27,31.63333333,32N,60.7W,13.07727301,-6.5,7.8,-8.241666667,7.30E+10,0.23
5/3/2018 7:23,39,46.9N,7.5W,11.46908889,1.3,-11.2,-2.1,3.80E+10,0.13
4/30/2018 13:17,34,45.5S,1.4W,13.12211873,8.7,2.5,-9.5,3.00E+10,0.1
4/21/2018 12:06,28.2,59.0S,45.8E,14.60068492,7.1,11.9,-4.6,3.60E+10,0.12
4/19/2018 14:02,30,7.5N,3.6E,20.85713307,-9.1,18.6,-2.5,7.20E+10,0.23
4/19/2018 13:39,31.5,22.2S,72.6E,10.93526406,-5.9,1.4,-9.1,5.12E+11,1.3
4/7/2018 3:05,31.5,72.4N,78.7W,14.74624717,7.633333333,9.391666667,8.425,8.60E+10,0.27
2/21/2018 1:28,31.5,13.5S,37.1W,13.13697073,-0.9,-0.4,13.1,7.10E+10,0.22
2/15/2018 13:38,50.7,43.8S,1.1W,16.34809919,-10.925,9.933333333,-7.016666667,2.70E+10,0.095
2/12/2018 2:15,32,15.9S,58.9W,15.00513801,-8.683333333,8.416666667,8.883333333,3.90E+10,0.13
2/8/2018 22:21,43.5,42.9N,179.7E,11.79302112,-7.7,-6.691666667,-5.916666667,2.59E+11,0.7
2/1/2018 12:21,37,19.4S,104.3E,16.52452722,8.1,-11.7,-8.4,1.90E+11,0.53
1/22/2018 22:06,37.13333333,14.0N,17.4W,13.71277284,-6.466666667,7.991666667,9.075,3.20E+10,0.11
1/15/2018 2:18,43.6,52.0S,57.2E,23.72614592,18.6,8.4,-12.1,1.99E+11,0.56
1/6/2018 21:24,26,55.8N,52.5E,21.03069186,0.8,-20.9,2.2,2.80E+10,0.098
1/6/2018 18:24,26,39.5S,12.8E,15.98568153,-9.816666667,8.841666667,-9,3.60E+10,0.12
12/31/2017 9:36,64.5,63.5S,101.3W,16.96135108,12.025,7.408333333,9.391666667,4.40E+10,0.15
12/29/2017 12:47,38,14.6N,49.5W,15.00879603,9.366666667,6.491666667,9.766666667,1.10E+11,0.33
12/28/2017 17:45,34.23333333,125.67280843218872W,58.312142999745014N,12.41987095,7.925,-8.241666667,-4.85,1.14E+11,0.34
12/15/2017 13:14,20,60.2N,170.0E,31.43469421,27.8,-13.9,-4.7,3.11E+12,6.4
11/19/2017 4:17,33.3,24.2S,135.0E,11.41971979,6.7,8.6,-3.4,2.80E+10,0.098
10/26/2017 22:05,42.5,21.3S,177.6E,15.78254354,10.3,-8.291666667,-8.616666667,5.58E+11,1.4
10/23/2017 15:31,35.4,28.8N,44.6E,16.71017654,-5.7,-11.5,-10.7,2.40E+10,0.086
10/15/2017 4:33,24.1,65.2S,128.2E,15.91320207,9.5,9.7,-8.3,3.30E+10,0.11
10/9/2017 12:51,33.55,18.3S,64.1W,13.96225567,-7.691666667,-5.433333333,-10.30833333,3.00E+10,0.1
10/4/2017 12:07,37,28.1N,99.4E,14.63181465,-8.5,7.8,-9,1.92E+11,0.54
9/5/2017 5:11,36,49.3N,116.9W,14.70170058,12.7,-4.2,-6.1,3.80E+10,0.13
7/31/2017 22:01,39,24.7N,118.5W,16.72866386,7.341666667,9.65,-11.525,5.80E+10,0.19
7/23/2017 6:12,38,6.6S,69.7W,17.17236151,-0.4,-14.8,8.7,3.50E+10,0.12
7/13/2017 9:30,35,23.1N,60.7E,13.72916603,-10,-6.8,-6.5,7.30E+10,0.23
6/30/2017 14:26,20,34.3S,134.5E,15.18354372,10.9,4.2,-9.7,9.40E+10,0.29
6/23/2017 20:21,35.1,57.0N,143.7E,24.31028589,17.7,-10.3,13.1,1.84E+11,0.52
6/20/2017 13:41,33.3,54.2S,133.0E,13.6242431,8.7,8.8,-5.7,6.36E+11,1.6
5/24/2017 7:03,46,9.1S,101.8E,18.42552577,-6.5,-5,-16.5,9.00E+10,0.28
5/22/2017 17:44,33,49.6S,157.6W,14.21284142,-9.425,6.375,-8.516666667,3.50E+10,0.12
5/14/2017 9:30,33,26.0S,32.4E,16.75108205,-9.441666667,8.316666667,11.05833333,3.50E+10,0.12
4/30/2017 21:28,32.4,25.7S,56.2E,21.45716663,-13.4,8.9,-14.2,1.50E+11,0.43
3/11/2017 4:51,28,28.3N,60.2W,15.74132257,9.125,5.366666667,-11.65,1.26E+12,2.9
3/9/2017 4:16,23,40.5N,18.0W,36.5016438,-15.3,-20.8,25.8,4.00E+11,1
3/8/2017 22:21,37,26.1S,174.9E,15.16720008,9.916666667,7.141666667,-8.983333333,7.20E+10,0.23
2/25/2017 1:22,25.4,29.5N,13.5E,12.2102416,-7.6,2.2,-9.3,6.50E+10,0.21
2/22/2017 18:47,36.275,50.7S,66.0W,13.91748002,6.091666667,6.858333333,-10.46666667,3.80E+10,0.13
2/18/2017 19:48,38,6.2N,60.4E,24.22684462,-6.6,-5.3,-22.7,2.95E+11,0.79
2/7/2017 17:37,54,27.4S,14.8W,15.0550333,-9.058333333,7.975,9,2.00E+10,0.073
2/6/2017 6:09,33.5,10.4N,131.6E,16.49421405,-10.775,9.991666667,7.491666667,6.60E+10,0.21
12/23/2016 3:29,42,21.3N,49.3E,29.68113879,-22.4,-10.5,16.4,3.80E+10,0.13
12/7/2016 4:51,36.575,34.5S,126.6W,13.93582015,8.283333333,5.958333333,9.491666667,1.17E+11,0.35
11/29/2016 8:05,33.36666667,30.6S,93.1W,15.81966515,-7.041666667,7.1,12.25833333,3.10E+10,0.11
11/24/2016 14:10,30.6,15.2S,80.3E,17.38792685,9.1,9.7,-11.2,1.38E+11,0.4
11/3/2016 17:14,37,39.6S,16.3W,14.00261384,7.675,8.691666667,-7.85,7.60E+10,0.24
10/1/2016 20:23,27.8,36.2N,6.7E,14.20211252,-10,-9.3,3.9,3.10E+10,0.11
9/22/2016 4:57,40,51.8S,178.5E,17.49685686,-2.5,17,-3.3,7.10E+10,0.22
9/14/2016 15:01,54,3.5S,44.6E,18.2751197,3.5,7.7,-16.2,7.60E+10,0.24
8/27/2016 21:45,42,56.9S,162.2E,16.26809676,-6.741666667,7.483333333,12.775,1.42E+11,0.41
8/11/2016 5:59,34.3,43.7S,53.8E,14.92012064,-0.7,9.6,-11.4,1.84E+11,0.52
8/5/2016 18:02,32.4,46.4N,171.6E,15.76455456,7.941666667,-6.5,11.96666667,1.21E+11,0.36
7/21/2016 0:48,37,7.8N,1.6W,18.19621069,-8.641666667,5.583333333,15.00833333,4.50E+10,0.15
7/5/2016 1:24,38.2,1.0N,48.6E,25.09840632,-10.3,-22.8,-2,1.53E+11,0.44
6/27/2016 10:02,33.3,15.8N,11.9W,29.14704102,-29.1,0.7,1.5,4.58E+11,1.2
6/5/2016 6:12,28.7,17.4S,138.3E,14.49482666,6,5.7,-11.9,3.31E+11,0.87
6/2/2016 10:56,41.975,33.8N,110.9W,15.8509792,-11.09166667,-7.258333333,8.691666667,1.72E+11,0.49
5/29/2016 12:14,32,10.2N,48.8W,17.81715388,-10.18333333,9.525,-11.09166667,6.90E+10,0.22
5/20/2016 11:59,30.6,32.8S,15.1E,20.81874156,5.4,17.5,-9.9,2.00E+10,0.073
5/16/2016 10:09,41.7,3.2N,6.6E,12.16305883,-6.7,-9.6,-3.3,5.19E+11,1.3
5/13/2016 0:34,33,26.2N,122.3W,13.93443477,5.241666667,-9.058333333,-9.2,1.01E+11,0.31
4/24/2016 5:39,50,9.8N,42.8W,16.36040486,-11.05,9.483333333,-7.458333333,1.46E+11,0.42
4/18/2016 11:59,31.5,20.7N,14.5W,17.1070161,-3.5,-16.6,2.2,2.24E+11,0.62
4/12/2016 9:51,41.90833333,38.3N,162.2E,19.36542236,13.99166667,8.091666667,-10.66666667,2.00E+10,0.073
4/10/2016 14:57,35.2,22.0N,149.0E,15.14793715,4.7,-6.4,-12.9,6.55E+11,1.6
3/16/2016 23:54,42,49.2S,6.3W,13.28796448,-7.6,6,9.1,3.20E+10,0.11
3/3/2016 1:32,31.8,48.0S,51.0E,11.65589979,4.8,7.9,-7.1,5.80E+10,0.19
2/23/2016 3:59,44,32.3N,67.2E,17.9248431,-8.5,-15.7,-1.6,3.50E+10,0.12
2/21/2016 5:58,32,36.5N,37.2W,16.23839757,-8.066666667,8.933333333,10.9,3.69E+11,0.96
2/19/2016 8:15,39.4,0.7N,11.6W,15.46188863,-14.9,4.1,-0.5,2.02E+11,0.56
2/6/2016 13:55,31,30.4S,25.5W,15.57369577,2.7,5,14.5,6.85E+12,13
1/27/2016 9:59,37,45.8S,53.6E,11.50304308,-10,3.6,-4.4,5.00E+10,0.16
1/21/2016 16:44,42.5,10.8S,0.7E,18.14304274,-3.8,-1.2,-17.7,4.60E+10,0.15
12/30/2015 13:07,39,33.8N,160.7W,16.05448406,9.641666667,-11.38333333,5.933333333,2.20E+10,0.079
12/21/2015 2:32,42.2,5.9N,143.0E,12.13301282,6.4,2.5,-10,8.30E+10,0.26
12/8/2015 0:34,38,69.9S,150.5E,15.26597751,12.53333333,-5.325,6.9,1.97E+11,0.55
11/13/2015 14:59,28,16.0N,124.3E,16.21264296,10.41666667,-8.466666667,9.091666667,1.02E+11,0.31
11/2/2015 21:34,37,41.4S,33.0E,16.65383256,11.84166667,9,7.491666667,7.80E+10,0.24
10/31/2015 11:34,71,9.0N,138.0W,14.55637985,-10.275,-6.083333333,8.325,9.70E+10,0.29
10/13/2015 12:23,38.9,8.0S,52.5W,12.89030644,-6.6,10.4,3.8,2.30E+10,0.082
10/11/2015 0:07,34.11666667,55.4S,18.8W,14.86010225,-9.283333333,8.958333333,-7.375,3.00E+10,0.1
10/10/2015 9:57,51.8,51.0S,21.1W,11.83469476,-1.3,10.6,-5.1,3.60E+10,0.12
10/4/2015 21:02,36.1,22.0N,171.6W,13.21261497,7.191666667,-7.85,7.825,4.40E+10,0.15
9/17/2015 21:03,36.5,43.1S,94.9E,14.35439828,8.641666667,-8.016666667,-8.191666667,9.80E+10,0.3
9/14/2015 23:50,34.15833333,5.8N,15.2W,12.52692655,-8.083333333,-6.416666667,-7.1,7.00E+10,0.22
9/8/2015 13:46,44.4,6.3N,29.9E,16.14775526,-11.5,-0.9,-11.3,2.00E+10,0.073
9/7/2015 1:41,29.3,14.5N,98.9E,20.99237957,16.8,-3.8,-12,1.80E+12,3.9
9/2/2015 20:10,39.8,39.1N,40.2E,24.06096424,10.3,-18,-12.2,3.70E+10,0.13
7/19/2015 7:06,22,20.6N,87.6W,17.83816134,9.4,7.8,13,2.30E+10,0.082
7/12/2015 22:23,41,31.0N,159.6E,14.04913995,8.183333333,-8.083333333,8.066666667,2.20E+10,0.079
7/4/2015 1:40,46.3,38.6N,103.1E,48.9924484,0.9,-27.7,-40.4,5.60E+10,0.18
6/14/2015 3:03,32.4,6.3N,124.1E,31.85796604,-4.7,-26,-17.8,7.10E+10,0.22
6/12/2015 17:03,43.5,1.3S,32.1W,16.94744532,9,10.125,10.18333333,1.76E+11,0.5
6/10/2015 17:43,61.1,11.5S,161.9W,14.6004257,-8.691666667,7.475,9.041666667,3.84E+11,1
6/2/2015 8:44,34.74166667,6.4S,142.7W,12.07755034,7.116666667,-4.216666667,8.8,3.80E+11,0.99
5/20/2015 10:20,32.4,1.0N,172.6E,12.84044446,-7.066666667,-9.416666667,5.125,3.60E+10,0.12
5/18/2015 17:13,29,32.4N,139.1E,19.06834564,10.225,-7.466666667,14.25833333,4.30E+10,0.14
5/10/2015 7:45,29.6,46.3S,179.3W,12.17949096,11.2,4.7,0.9,1.43E+11,0.42
5/7/2015 20:34,37,21.5S,29.3W,17.26383503,-16.2,1.4,-5.8,5.20E+10,0.17
4/30/2015 10:21,26.7,48.7S,139.1E,12.93406355,12.2,0.9,-4.2,1.05E+11,0.32
4/21/2015 1:42,37.4,37.7N,39.6W,21.27651287,-15.3,7.4,12.8,8.80E+10,0.27
