Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/25/2017 1:22,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,6.50E+10,0.21
2/18/2017 19:48,6.2N,60.4E,38,24.2,-6.6,-22.7,-5.3,2.95E+11,0.79
12/23/2016 3:29,21.3N,49.3E,42,29.7,-22.4,16.4,-10.5,3.80E+10,0.13
11/24/2016 14:10,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,1.38E+11,0.4
10/1/2016 20:23,36.2N,6.7E,27.8,14.2,-10,3.9,-9.3,3.10E+10,0.11
9/22/2016 4:57,51.8S,178.5E,40,17.5,-2.5,-3.3,17,7.10E+10,0.22
9/14/2016 15:01,3.5S,44.6E,54,18.3,3.5,-16.2,7.7,7.60E+10,0.24
8/11/2016 5:59,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,1.84E+11,0.52
7/5/2016 1:24,1.0N,48.6E,38.2,25.1,-10.3,-2,-22.8,1.53E+11,0.44
6/27/2016 10:02,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,4.58E+11,1.2
6/5/2016 6:12,17.4S,138.3E,28.7,14.5,6,-11.9,5.7,3.31E+11,0.87
5/20/2016 11:59,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,2.00E+10,0.073
5/16/2016 10:09,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,5.19E+11,1.3
4/18/2016 11:59,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,2.24E+11,0.62
4/10/2016 14:57,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,6.55E+11,1.6
3/16/2016 23:54,49.2S,6.3W,42,13.3,-7.6,9.1,6,3.20E+10,0.11
3/3/2016 1:32,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,5.80E+10,0.19
2/23/2016 3:59,32.3N,67.2E,44,17.9,-8.5,-1.6,-15.7,3.50E+10,0.12
2/19/2016 8:15,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,2.02E+11,0.56
2/6/2016 13:55,30.4S,25.5W,31,15.6,2.7,14.5,5,6.85E+12,13
1/27/2016 9:59,45.8S,53.6E,37,11.5,-10,-4.4,3.6,5.00E+10,0.16
1/21/2016 16:44,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,4.60E+10,0.15
12/21/2015 2:32,5.9N,143.0E,42.2,12.1,6.4,-10,2.5,8.30E+10,0.26
10/13/2015 12:23,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,2.30E+10,0.082
10/10/2015 9:57,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,3.60E+10,0.12
9/8/2015 13:46,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,2.00E+10,0.073
9/7/2015 1:41,14.5N,98.9E,29.3,21,16.8,-12,-3.8,1.80E+12,3.9
